colsample_bytree,combo,learning_rate,max_depth,min_samples_leaf,model_a_epochs,n_estimators_rf,n_estimators_xgb,rolling_windows,subsample,value
0.7,0,0.07142693369016935,4,5,21,160,238,"(10, 30)",0.8,-inf
0.7,1,0.09887214332593207,4,6,26,163,250,"(10, 30)",0.8,-inf
0.7,2,0.0817628522292129,5,6,24,166,246,"(10, 30)",0.8,-inf
0.7,3,0.06257048743376276,4,6,15,171,229,"(10, 30)",0.8,-inf
0.7,4,0.06538648325453002,5,4,18,150,270,"(10, 30)",0.8,-inf
0.7,5,0.07204975658354579,5,5,15,155,294,"(10, 30)",0.8,-inf
0.7,6,0.0872074011126501,5,5,18,183,203,"(10, 30)",0.8,-inf
0.7,7,0.0915482757398649,3,4,21,156,217,"(10, 30)",0.8,-inf
0.7,8,0.0606499882224241,3,5,17,230,272,"(10, 30)",0.8,-inf
0.7,9,0.09259731777030983,5,6,16,211,275,"(10, 30)",0.8,-inf
0.7,10,0.09144775908664163,3,6,16,183,247,"(10, 30)",0.8,-inf
0.7,11,0.07734822700515552,4,4,14,150,267,"(10, 30)",0.8,-inf
